maladie,symptomes,specialite_medicale
Arthrose - cas 700,"douleurs articulaires, raideur, gonflement",Rhumatologie
Sclérose en plaques - cas 701,"troubles visuels, faiblesse, engourdissements",Neurologie
Anémie - cas 702,"fatigue, pâleur, essoufflement",Hématologie
Bronchite chronique - cas 703,"toux grasse, essoufflement, fatigue",Pneumologie
Hypertension - cas 704,"maux de tête, vertiges, vision floue",Cardiologie
Bronchite chronique - cas 705,"toux grasse, essoufflement, fatigue",Pneumologie
Cirrhose hépatique - cas 706,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Cirrhose hépatique - cas 707,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Dermatite atopique - cas 708,"démangeaisons, rougeurs, peau sèche",Dermatologie
Diabète de type 2 - cas 709,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Grippe - cas 710,"fièvre, toux, fatigue, maux de tête",Médecine générale
Hypertension - cas 711,"maux de tête, vertiges, vision floue",Cardiologie
Migraine - cas 712,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Cirrhose hépatique - cas 713,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Dermatite atopique - cas 714,"démangeaisons, rougeurs, peau sèche",Dermatologie
Migraine - cas 715,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Maladie de Crohn - cas 716,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Tuberculose - cas 717,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Hypertension - cas 718,"maux de tête, vertiges, vision floue",Cardiologie
Bronchite chronique - cas 719,"toux grasse, essoufflement, fatigue",Pneumologie
Hypertension - cas 720,"maux de tête, vertiges, vision floue",Cardiologie
Anémie - cas 721,"fatigue, pâleur, essoufflement",Hématologie
Cirrhose hépatique - cas 722,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Hypertension - cas 723,"maux de tête, vertiges, vision floue",Cardiologie
Cirrhose hépatique - cas 724,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Hépatite B - cas 725,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Asthme - cas 726,"essoufflement, toux, respiration sifflante",Pneumologie
Grippe - cas 727,"fièvre, toux, fatigue, maux de tête",Médecine générale
Hypertension - cas 728,"maux de tête, vertiges, vision floue",Cardiologie
Bronchite chronique - cas 729,"toux grasse, essoufflement, fatigue",Pneumologie
Anémie - cas 730,"fatigue, pâleur, essoufflement",Hématologie
Hypertension - cas 731,"maux de tête, vertiges, vision floue",Cardiologie
Hépatite B - cas 732,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Grippe - cas 733,"fièvre, toux, fatigue, maux de tête",Médecine générale
Hépatite B - cas 734,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Diabète de type 2 - cas 735,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Cirrhose hépatique - cas 736,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Hépatite B - cas 737,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Maladie de Crohn - cas 738,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Cirrhose hépatique - cas 739,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Dermatite atopique - cas 740,"démangeaisons, rougeurs, peau sèche",Dermatologie
Grippe - cas 741,"fièvre, toux, fatigue, maux de tête",Médecine générale
Cirrhose hépatique - cas 742,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Diabète de type 2 - cas 743,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Sclérose en plaques - cas 744,"troubles visuels, faiblesse, engourdissements",Neurologie
Maladie de Crohn - cas 745,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Sclérose en plaques - cas 746,"troubles visuels, faiblesse, engourdissements",Neurologie
Dermatite atopique - cas 747,"démangeaisons, rougeurs, peau sèche",Dermatologie
Dermatite atopique - cas 748,"démangeaisons, rougeurs, peau sèche",Dermatologie
Appendicite - cas 749,"douleur abdominale, nausée, fièvre",Chirurgie générale
Anémie - cas 750,"fatigue, pâleur, essoufflement",Hématologie
Hypertension - cas 751,"maux de tête, vertiges, vision floue",Cardiologie
Diabète de type 2 - cas 752,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Asthme - cas 753,"essoufflement, toux, respiration sifflante",Pneumologie
Hépatite B - cas 754,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Bronchite chronique - cas 755,"toux grasse, essoufflement, fatigue",Pneumologie
Arthrose - cas 756,"douleurs articulaires, raideur, gonflement",Rhumatologie
Diabète de type 2 - cas 757,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Sclérose en plaques - cas 758,"troubles visuels, faiblesse, engourdissements",Neurologie
Cirrhose hépatique - cas 759,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Appendicite - cas 760,"douleur abdominale, nausée, fièvre",Chirurgie générale
Diabète de type 2 - cas 761,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Hépatite B - cas 762,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Hypertension - cas 763,"maux de tête, vertiges, vision floue",Cardiologie
Bronchite chronique - cas 764,"toux grasse, essoufflement, fatigue",Pneumologie
Diabète de type 2 - cas 765,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Anémie - cas 766,"fatigue, pâleur, essoufflement",Hématologie
Sclérose en plaques - cas 767,"troubles visuels, faiblesse, engourdissements",Neurologie
Migraine - cas 768,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Diabète de type 2 - cas 769,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Maladie de Crohn - cas 770,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Anémie - cas 771,"fatigue, pâleur, essoufflement",Hématologie
Sclérose en plaques - cas 772,"troubles visuels, faiblesse, engourdissements",Neurologie
Hépatite B - cas 773,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Migraine - cas 774,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Maladie de Crohn - cas 775,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Hépatite B - cas 776,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Cirrhose hépatique - cas 777,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Grippe - cas 778,"fièvre, toux, fatigue, maux de tête",Médecine générale
Migraine - cas 779,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Asthme - cas 780,"essoufflement, toux, respiration sifflante",Pneumologie
Arthrose - cas 781,"douleurs articulaires, raideur, gonflement",Rhumatologie
Arthrose - cas 782,"douleurs articulaires, raideur, gonflement",Rhumatologie
Hypertension - cas 783,"maux de tête, vertiges, vision floue",Cardiologie
Anémie - cas 784,"fatigue, pâleur, essoufflement",Hématologie
Diabète de type 2 - cas 785,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Asthme - cas 786,"essoufflement, toux, respiration sifflante",Pneumologie
Appendicite - cas 787,"douleur abdominale, nausée, fièvre",Chirurgie générale
Bronchite chronique - cas 788,"toux grasse, essoufflement, fatigue",Pneumologie
Sclérose en plaques - cas 789,"troubles visuels, faiblesse, engourdissements",Neurologie
Dermatite atopique - cas 790,"démangeaisons, rougeurs, peau sèche",Dermatologie
Migraine - cas 791,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Tuberculose - cas 792,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Hypertension - cas 793,"maux de tête, vertiges, vision floue",Cardiologie
Hépatite B - cas 794,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Diabète de type 2 - cas 795,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Maladie de Crohn - cas 796,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Grippe - cas 797,"fièvre, toux, fatigue, maux de tête",Médecine générale
Appendicite - cas 798,"douleur abdominale, nausée, fièvre",Chirurgie générale
Maladie de Crohn - cas 799,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Maladie de Crohn - cas 800,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Dermatite atopique - cas 801,"démangeaisons, rougeurs, peau sèche",Dermatologie
Migraine - cas 802,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Sclérose en plaques - cas 803,"troubles visuels, faiblesse, engourdissements",Neurologie
Hypertension - cas 804,"maux de tête, vertiges, vision floue",Cardiologie
Maladie de Crohn - cas 805,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Appendicite - cas 806,"douleur abdominale, nausée, fièvre",Chirurgie générale
Anémie - cas 807,"fatigue, pâleur, essoufflement",Hématologie
Arthrose - cas 808,"douleurs articulaires, raideur, gonflement",Rhumatologie
Asthme - cas 809,"essoufflement, toux, respiration sifflante",Pneumologie
Cirrhose hépatique - cas 810,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Maladie de Crohn - cas 811,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Asthme - cas 812,"essoufflement, toux, respiration sifflante",Pneumologie
Migraine - cas 813,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Arthrose - cas 814,"douleurs articulaires, raideur, gonflement",Rhumatologie
Migraine - cas 815,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Hypertension - cas 816,"maux de tête, vertiges, vision floue",Cardiologie
Appendicite - cas 817,"douleur abdominale, nausée, fièvre",Chirurgie générale
Maladie de Crohn - cas 818,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Hypertension - cas 819,"maux de tête, vertiges, vision floue",Cardiologie
Sclérose en plaques - cas 820,"troubles visuels, faiblesse, engourdissements",Neurologie
Bronchite chronique - cas 821,"toux grasse, essoufflement, fatigue",Pneumologie
Arthrose - cas 822,"douleurs articulaires, raideur, gonflement",Rhumatologie
Migraine - cas 823,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Anémie - cas 824,"fatigue, pâleur, essoufflement",Hématologie
Hépatite B - cas 825,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Arthrose - cas 826,"douleurs articulaires, raideur, gonflement",Rhumatologie
Sclérose en plaques - cas 827,"troubles visuels, faiblesse, engourdissements",Neurologie
Appendicite - cas 828,"douleur abdominale, nausée, fièvre",Chirurgie générale
Tuberculose - cas 829,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Asthme - cas 830,"essoufflement, toux, respiration sifflante",Pneumologie
Bronchite chronique - cas 831,"toux grasse, essoufflement, fatigue",Pneumologie
Maladie de Crohn - cas 832,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Hypertension - cas 833,"maux de tête, vertiges, vision floue",Cardiologie
Arthrose - cas 834,"douleurs articulaires, raideur, gonflement",Rhumatologie
Migraine - cas 835,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Asthme - cas 836,"essoufflement, toux, respiration sifflante",Pneumologie
Grippe - cas 837,"fièvre, toux, fatigue, maux de tête",Médecine générale
Cirrhose hépatique - cas 838,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Grippe - cas 839,"fièvre, toux, fatigue, maux de tête",Médecine générale
Sclérose en plaques - cas 840,"troubles visuels, faiblesse, engourdissements",Neurologie
Cirrhose hépatique - cas 841,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Tuberculose - cas 842,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Hypertension - cas 843,"maux de tête, vertiges, vision floue",Cardiologie
Diabète de type 2 - cas 844,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Arthrose - cas 845,"douleurs articulaires, raideur, gonflement",Rhumatologie
Dermatite atopique - cas 846,"démangeaisons, rougeurs, peau sèche",Dermatologie
Grippe - cas 847,"fièvre, toux, fatigue, maux de tête",Médecine générale
Dermatite atopique - cas 848,"démangeaisons, rougeurs, peau sèche",Dermatologie
Tuberculose - cas 849,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Bronchite chronique - cas 850,"toux grasse, essoufflement, fatigue",Pneumologie
Hypertension - cas 851,"maux de tête, vertiges, vision floue",Cardiologie
Grippe - cas 852,"fièvre, toux, fatigue, maux de tête",Médecine générale
Dermatite atopique - cas 853,"démangeaisons, rougeurs, peau sèche",Dermatologie
Appendicite - cas 854,"douleur abdominale, nausée, fièvre",Chirurgie générale
Sclérose en plaques - cas 855,"troubles visuels, faiblesse, engourdissements",Neurologie
Hypertension - cas 856,"maux de tête, vertiges, vision floue",Cardiologie
Cirrhose hépatique - cas 857,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Appendicite - cas 858,"douleur abdominale, nausée, fièvre",Chirurgie générale
Dermatite atopique - cas 859,"démangeaisons, rougeurs, peau sèche",Dermatologie
Hépatite B - cas 860,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Dermatite atopique - cas 861,"démangeaisons, rougeurs, peau sèche",Dermatologie
Migraine - cas 862,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Hépatite B - cas 863,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Anémie - cas 864,"fatigue, pâleur, essoufflement",Hématologie
Appendicite - cas 865,"douleur abdominale, nausée, fièvre",Chirurgie générale
Bronchite chronique - cas 866,"toux grasse, essoufflement, fatigue",Pneumologie
Maladie de Crohn - cas 867,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Arthrose - cas 868,"douleurs articulaires, raideur, gonflement",Rhumatologie
Anémie - cas 869,"fatigue, pâleur, essoufflement",Hématologie
Migraine - cas 870,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Dermatite atopique - cas 871,"démangeaisons, rougeurs, peau sèche",Dermatologie
Tuberculose - cas 872,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Maladie de Crohn - cas 873,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Sclérose en plaques - cas 874,"troubles visuels, faiblesse, engourdissements",Neurologie
Dermatite atopique - cas 875,"démangeaisons, rougeurs, peau sèche",Dermatologie
Bronchite chronique - cas 876,"toux grasse, essoufflement, fatigue",Pneumologie
Appendicite - cas 877,"douleur abdominale, nausée, fièvre",Chirurgie générale
Tuberculose - cas 878,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Appendicite - cas 879,"douleur abdominale, nausée, fièvre",Chirurgie générale
Anémie - cas 880,"fatigue, pâleur, essoufflement",Hématologie
Maladie de Crohn - cas 881,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Hypertension - cas 882,"maux de tête, vertiges, vision floue",Cardiologie
Hépatite B - cas 883,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Cirrhose hépatique - cas 884,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Tuberculose - cas 885,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Diabète de type 2 - cas 886,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Maladie de Crohn - cas 887,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Arthrose - cas 888,"douleurs articulaires, raideur, gonflement",Rhumatologie
Appendicite - cas 889,"douleur abdominale, nausée, fièvre",Chirurgie générale
Asthme - cas 890,"essoufflement, toux, respiration sifflante",Pneumologie
Dermatite atopique - cas 891,"démangeaisons, rougeurs, peau sèche",Dermatologie
Tuberculose - cas 892,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Hépatite B - cas 893,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Asthme - cas 894,"essoufflement, toux, respiration sifflante",Pneumologie
Sclérose en plaques - cas 895,"troubles visuels, faiblesse, engourdissements",Neurologie
Migraine - cas 896,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Tuberculose - cas 897,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Anémie - cas 898,"fatigue, pâleur, essoufflement",Hématologie
Appendicite - cas 899,"douleur abdominale, nausée, fièvre",Chirurgie générale
Asthme - cas 900,"essoufflement, toux, respiration sifflante",Pneumologie
Sclérose en plaques - cas 901,"troubles visuels, faiblesse, engourdissements",Neurologie
Arthrose - cas 902,"douleurs articulaires, raideur, gonflement",Rhumatologie
Appendicite - cas 903,"douleur abdominale, nausée, fièvre",Chirurgie générale
Arthrose - cas 904,"douleurs articulaires, raideur, gonflement",Rhumatologie
Diabète de type 2 - cas 905,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Sclérose en plaques - cas 906,"troubles visuels, faiblesse, engourdissements",Neurologie
Cirrhose hépatique - cas 907,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Maladie de Crohn - cas 908,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Dermatite atopique - cas 909,"démangeaisons, rougeurs, peau sèche",Dermatologie
Sclérose en plaques - cas 910,"troubles visuels, faiblesse, engourdissements",Neurologie
Hépatite B - cas 911,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Bronchite chronique - cas 912,"toux grasse, essoufflement, fatigue",Pneumologie
Hépatite B - cas 913,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Arthrose - cas 914,"douleurs articulaires, raideur, gonflement",Rhumatologie
Hypertension - cas 915,"maux de tête, vertiges, vision floue",Cardiologie
Bronchite chronique - cas 916,"toux grasse, essoufflement, fatigue",Pneumologie
Cirrhose hépatique - cas 917,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Sclérose en plaques - cas 918,"troubles visuels, faiblesse, engourdissements",Neurologie
Arthrose - cas 919,"douleurs articulaires, raideur, gonflement",Rhumatologie
Hépatite B - cas 920,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Sclérose en plaques - cas 921,"troubles visuels, faiblesse, engourdissements",Neurologie
Cirrhose hépatique - cas 922,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Dermatite atopique - cas 923,"démangeaisons, rougeurs, peau sèche",Dermatologie
Cirrhose hépatique - cas 924,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Dermatite atopique - cas 925,"démangeaisons, rougeurs, peau sèche",Dermatologie
Dermatite atopique - cas 926,"démangeaisons, rougeurs, peau sèche",Dermatologie
Cirrhose hépatique - cas 927,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Appendicite - cas 928,"douleur abdominale, nausée, fièvre",Chirurgie générale
Dermatite atopique - cas 929,"démangeaisons, rougeurs, peau sèche",Dermatologie
Asthme - cas 930,"essoufflement, toux, respiration sifflante",Pneumologie
Arthrose - cas 931,"douleurs articulaires, raideur, gonflement",Rhumatologie
Appendicite - cas 932,"douleur abdominale, nausée, fièvre",Chirurgie générale
Dermatite atopique - cas 933,"démangeaisons, rougeurs, peau sèche",Dermatologie
Maladie de Crohn - cas 934,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Dermatite atopique - cas 935,"démangeaisons, rougeurs, peau sèche",Dermatologie
Dermatite atopique - cas 936,"démangeaisons, rougeurs, peau sèche",Dermatologie
Diabète de type 2 - cas 937,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Hypertension - cas 938,"maux de tête, vertiges, vision floue",Cardiologie
Sclérose en plaques - cas 939,"troubles visuels, faiblesse, engourdissements",Neurologie
Tuberculose - cas 940,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Migraine - cas 941,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Asthme - cas 942,"essoufflement, toux, respiration sifflante",Pneumologie
Anémie - cas 943,"fatigue, pâleur, essoufflement",Hématologie
Grippe - cas 944,"fièvre, toux, fatigue, maux de tête",Médecine générale
Migraine - cas 945,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Hépatite B - cas 946,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Hypertension - cas 947,"maux de tête, vertiges, vision floue",Cardiologie
Maladie de Crohn - cas 948,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Grippe - cas 949,"fièvre, toux, fatigue, maux de tête",Médecine générale
Appendicite - cas 950,"douleur abdominale, nausée, fièvre",Chirurgie générale
Arthrose - cas 951,"douleurs articulaires, raideur, gonflement",Rhumatologie
Sclérose en plaques - cas 952,"troubles visuels, faiblesse, engourdissements",Neurologie
Cirrhose hépatique - cas 953,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Bronchite chronique - cas 954,"toux grasse, essoufflement, fatigue",Pneumologie
Cirrhose hépatique - cas 955,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Anémie - cas 956,"fatigue, pâleur, essoufflement",Hématologie
Sclérose en plaques - cas 957,"troubles visuels, faiblesse, engourdissements",Neurologie
Migraine - cas 958,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Asthme - cas 959,"essoufflement, toux, respiration sifflante",Pneumologie
Arthrose - cas 960,"douleurs articulaires, raideur, gonflement",Rhumatologie
Asthme - cas 961,"essoufflement, toux, respiration sifflante",Pneumologie
Asthme - cas 962,"essoufflement, toux, respiration sifflante",Pneumologie
Anémie - cas 963,"fatigue, pâleur, essoufflement",Hématologie
Dermatite atopique - cas 964,"démangeaisons, rougeurs, peau sèche",Dermatologie
Grippe - cas 965,"fièvre, toux, fatigue, maux de tête",Médecine générale
Maladie de Crohn - cas 966,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Maladie de Crohn - cas 967,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Arthrose - cas 968,"douleurs articulaires, raideur, gonflement",Rhumatologie
Asthme - cas 969,"essoufflement, toux, respiration sifflante",Pneumologie
Hypertension - cas 970,"maux de tête, vertiges, vision floue",Cardiologie
Sclérose en plaques - cas 971,"troubles visuels, faiblesse, engourdissements",Neurologie
Hypertension - cas 972,"maux de tête, vertiges, vision floue",Cardiologie
Dermatite atopique - cas 973,"démangeaisons, rougeurs, peau sèche",Dermatologie
Bronchite chronique - cas 974,"toux grasse, essoufflement, fatigue",Pneumologie
Arthrose - cas 975,"douleurs articulaires, raideur, gonflement",Rhumatologie
Appendicite - cas 976,"douleur abdominale, nausée, fièvre",Chirurgie générale
Hépatite B - cas 977,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Diabète de type 2 - cas 978,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Appendicite - cas 979,"douleur abdominale, nausée, fièvre",Chirurgie générale
Diabète de type 2 - cas 980,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Sclérose en plaques - cas 981,"troubles visuels, faiblesse, engourdissements",Neurologie
Asthme - cas 982,"essoufflement, toux, respiration sifflante",Pneumologie
Sclérose en plaques - cas 983,"troubles visuels, faiblesse, engourdissements",Neurologie
Arthrose - cas 984,"douleurs articulaires, raideur, gonflement",Rhumatologie
Hépatite B - cas 985,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Appendicite - cas 986,"douleur abdominale, nausée, fièvre",Chirurgie générale
Migraine - cas 987,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Appendicite - cas 988,"douleur abdominale, nausée, fièvre",Chirurgie générale
Hypertension - cas 989,"maux de tête, vertiges, vision floue",Cardiologie
Arthrose - cas 990,"douleurs articulaires, raideur, gonflement",Rhumatologie
Dermatite atopique - cas 991,"démangeaisons, rougeurs, peau sèche",Dermatologie
Hépatite B - cas 992,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Sclérose en plaques - cas 993,"troubles visuels, faiblesse, engourdissements",Neurologie
Diabète de type 2 - cas 994,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Hypertension - cas 995,"maux de tête, vertiges, vision floue",Cardiologie
Hypertension - cas 996,"maux de tête, vertiges, vision floue",Cardiologie
Dermatite atopique - cas 997,"démangeaisons, rougeurs, peau sèche",Dermatologie
Migraine - cas 998,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Sclérose en plaques - cas 999,"troubles visuels, faiblesse, engourdissements",Neurologie
Maladie de Crohn - cas 1000,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Asthme - cas 1001,"essoufflement, toux, respiration sifflante",Pneumologie
Bronchite chronique - cas 1002,"toux grasse, essoufflement, fatigue",Pneumologie
Cirrhose hépatique - cas 1003,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Sclérose en plaques - cas 1004,"troubles visuels, faiblesse, engourdissements",Neurologie
Dermatite atopique - cas 1005,"démangeaisons, rougeurs, peau sèche",Dermatologie
Sclérose en plaques - cas 1006,"troubles visuels, faiblesse, engourdissements",Neurologie
Grippe - cas 1007,"fièvre, toux, fatigue, maux de tête",Médecine générale
Migraine - cas 1008,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Cirrhose hépatique - cas 1009,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Asthme - cas 1010,"essoufflement, toux, respiration sifflante",Pneumologie
Grippe - cas 1011,"fièvre, toux, fatigue, maux de tête",Médecine générale
Migraine - cas 1012,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Grippe - cas 1013,"fièvre, toux, fatigue, maux de tête",Médecine générale
Migraine - cas 1014,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Diabète de type 2 - cas 1015,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Diabète de type 2 - cas 1016,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Bronchite chronique - cas 1017,"toux grasse, essoufflement, fatigue",Pneumologie
Dermatite atopique - cas 1018,"démangeaisons, rougeurs, peau sèche",Dermatologie
Dermatite atopique - cas 1019,"démangeaisons, rougeurs, peau sèche",Dermatologie
Maladie de Crohn - cas 1020,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Bronchite chronique - cas 1021,"toux grasse, essoufflement, fatigue",Pneumologie
Sclérose en plaques - cas 1022,"troubles visuels, faiblesse, engourdissements",Neurologie
Arthrose - cas 1023,"douleurs articulaires, raideur, gonflement",Rhumatologie
Arthrose - cas 1024,"douleurs articulaires, raideur, gonflement",Rhumatologie
Appendicite - cas 1025,"douleur abdominale, nausée, fièvre",Chirurgie générale
Diabète de type 2 - cas 1026,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Cirrhose hépatique - cas 1027,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Dermatite atopique - cas 1028,"démangeaisons, rougeurs, peau sèche",Dermatologie
Cirrhose hépatique - cas 1029,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Hépatite B - cas 1030,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Hépatite B - cas 1031,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Arthrose - cas 1032,"douleurs articulaires, raideur, gonflement",Rhumatologie
Hypertension - cas 1033,"maux de tête, vertiges, vision floue",Cardiologie
Sclérose en plaques - cas 1034,"troubles visuels, faiblesse, engourdissements",Neurologie
Bronchite chronique - cas 1035,"toux grasse, essoufflement, fatigue",Pneumologie
Migraine - cas 1036,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Bronchite chronique - cas 1037,"toux grasse, essoufflement, fatigue",Pneumologie
Tuberculose - cas 1038,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Cirrhose hépatique - cas 1039,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Hypertension - cas 1040,"maux de tête, vertiges, vision floue",Cardiologie
Bronchite chronique - cas 1041,"toux grasse, essoufflement, fatigue",Pneumologie
Appendicite - cas 1042,"douleur abdominale, nausée, fièvre",Chirurgie générale
Hypertension - cas 1043,"maux de tête, vertiges, vision floue",Cardiologie
Cirrhose hépatique - cas 1044,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Anémie - cas 1045,"fatigue, pâleur, essoufflement",Hématologie
Hépatite B - cas 1046,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
