maladie,symptomes,specialite_medicale
Asthme,"fièvre, douleurs articulaires, éruptions cutanées, vertiges, palpitations",Pneumologie
Diabète,"éruptions cutanées, fièvre, toux",ORL
Goutte,"palpitations, éruptions cutanées, vertiges, diarrhée",Endocrinologie
Alzheimer,"diarrhée, vertiges, éruptions cutanées, nausées, douleur abdominale",Ophtalmologie
Otite,"toux, maux de tête, fièvre",Pneumologie
Pneumonie,"toux, jaunisse, fièvre",ORL
Glaucome,"essoufflement, vertiges, nausées, douleur abdominale",ORL
Psoriasis,"fatigue, fièvre, essoufflement",Neurologie
Hépatite,"perte de poids, palpitations, vertiges",Rhumatologie
Méningite,"fatigue, vertiges, essoufflement",Endocrinologie
Colite,"jaunisse, éruptions cutanées, vertiges",Gastroentérologie
Obésité,"vertiges, douleur abdominale, maux de tête",Ophtalmologie
Sinusite,"douleurs articulaires, fatigue, palpitations",Ophtalmologie
Goutte,"palpitations, fatigue, jaunisse, diarrhée",Oncologie
Arthrite,"fièvre, fatigue, éruptions cutanées, diarrhée",Hématologie
Psoriasis,"toux, nausées, maux de tête",Pneumologie
Obésité,"diarrhée, toux, essoufflement, palpitations",Rhumatologie
Alzheimer,"essoufflement, fièvre, perte de poids, palpitations",Oncologie
Psoriasis,"nausées, diarrhée, douleur abdominale, vertiges, fatigue",Hématologie
Hépatite,"essoufflement, diarrhée, vertiges, fièvre, vomissements",ORL
Pneumonie,"essoufflement, toux, douleurs articulaires, diarrhée, douleur abdominale",Oncologie
Parkinson,"douleur abdominale, nausées, diarrhée, douleurs articulaires, maux de tête",Infectiologie
Conjonctivite,"jaunisse, palpitations, toux, nausées, diarrhée",Pneumologie
Goutte,"fatigue, palpitations, jaunisse",Oncologie
Diabète,"toux, douleur abdominale, nausées",ORL
Psoriasis,"douleur abdominale, fatigue, perte de poids, vomissements, vertiges",Pédiatrie
Colite,"éruptions cutanées, essoufflement, douleurs articulaires, jaunisse, douleur abdominale",Endocrinologie
Otite,"perte de poids, douleurs articulaires, fièvre, palpitations",Infectiologie
Cirrhose,"fièvre, nausées, toux, maux de tête",Neurologie
Obésité,"vertiges, essoufflement, douleurs articulaires, jaunisse",Ophtalmologie
Cancer du foie,"vertiges, essoufflement, diarrhée, maux de tête, perte de poids",Gastroentérologie
Diabète,"nausées, éruptions cutanées, palpitations, toux, diarrhée",Endocrinologie
Bronchite,"essoufflement, fièvre, nausées",Pneumologie
Dermatite,"fièvre, toux, essoufflement, vomissements, éruptions cutanées",Ophtalmologie
Alzheimer,"fièvre, maux de tête, perte de poids, fatigue",Médecine générale
Colite,"fatigue, douleur abdominale, jaunisse, essoufflement, vomissements",Oncologie
Colite,"fièvre, essoufflement, palpitations, nausées",Médecine générale
Dermatite,"vomissements, fièvre, douleurs articulaires, éruptions cutanées, essoufflement",Oncologie
Parkinson,"douleur abdominale, palpitations, nausées, jaunisse, fièvre",Ophtalmologie
Sclérose,"jaunisse, toux, douleurs articulaires, palpitations",Pédiatrie
Sclérose,"vertiges, toux, vomissements, douleur abdominale, douleurs articulaires",Infectiologie
Tuberculose,"vertiges, douleur abdominale, palpitations, diarrhée",ORL
Cancer de la peau,"éruptions cutanées, diarrhée, fièvre, nausées, douleur abdominale",Hématologie
Migraine,"fièvre, maux de tête, éruptions cutanées, jaunisse",Dermatologie
Conjonctivite,"perte de poids, vertiges, palpitations, toux, essoufflement",Hématologie
Zona,"essoufflement, nausées, fatigue",Chirurgie générale
Cancer de la peau,"vomissements, nausées, jaunisse",Chirurgie générale
Hypertension,"jaunisse, fatigue, éruptions cutanées, maux de tête",Oncologie
Colite,"vomissements, fatigue, fièvre, diarrhée",Gastroentérologie
Epilepsie,"nausées, diarrhée, essoufflement",Rhumatologie
VIH,"diarrhée, jaunisse, perte de poids",Neurologie
COVID-19,"toux, maux de tête, jaunisse",Rhumatologie
Asthme,"douleur abdominale, éruptions cutanées, vertiges, toux",Pneumologie
Cancer de la peau,"éruptions cutanées, maux de tête, nausées, douleurs articulaires, fièvre",Médecine générale
Asthme,"éruptions cutanées, vomissements, maux de tête",Médecine générale
Alzheimer,"éruptions cutanées, diarrhée, fatigue, fièvre",ORL
Parkinson,"fatigue, vertiges, toux, perte de poids, éruptions cutanées",Oncologie
Hernie,"jaunisse, vertiges, nausées, fatigue, éruptions cutanées",Gastroentérologie
Dermatite,"fièvre, toux, vertiges, jaunisse",Médecine générale
Pneumonie,"fièvre, nausées, éruptions cutanées, maux de tête",Cardiologie
VIH,"douleurs articulaires, fatigue, perte de poids, essoufflement",Oncologie
Cancer du sein,"essoufflement, vomissements, fatigue, éruptions cutanées",Pneumologie
Zona,"maux de tête, douleurs articulaires, palpitations",Oncologie
Goutte,"essoufflement, fièvre, palpitations, perte de poids",Neurologie
Lupus,"essoufflement, diarrhée, jaunisse, maux de tête, fièvre",Chirurgie générale
Cirrhose,"essoufflement, vertiges, toux, palpitations, vomissements",Endocrinologie
Méningite,"douleur abdominale, fièvre, vertiges, vomissements, palpitations",Médecine générale
Cancer du foie,"vertiges, vomissements, nausées, jaunisse, fièvre",Oncologie
Diabète,"diarrhée, jaunisse, éruptions cutanées, nausées, palpitations",Infectiologie
Migraine,"vomissements, jaunisse, palpitations, douleurs articulaires, éruptions cutanées",Chirurgie générale
Pneumonie,"palpitations, diarrhée, maux de tête",Pédiatrie
Appendicite,"jaunisse, essoufflement, douleur abdominale",Endocrinologie
Arthrose,"vomissements, douleur abdominale, maux de tête, vertiges, diarrhée",Pneumologie
Paludisme,"éruptions cutanées, douleurs articulaires, vertiges, maux de tête",Oncologie
Paludisme,"perte de poids, toux, douleur abdominale",Infectiologie
Glaucome,"nausées, vertiges, fièvre, éruptions cutanées, palpitations",Endocrinologie
Grippe,"maux de tête, vertiges, palpitations",Gastroentérologie
Anémie,"fièvre, fatigue, perte de poids, éruptions cutanées, diarrhée",Cardiologie
Anémie,"vomissements, perte de poids, douleur abdominale",Rhumatologie
Cancer du foie,"toux, perte de poids, vomissements",Médecine générale
Goutte,"palpitations, maux de tête, jaunisse",Endocrinologie
VIH,"essoufflement, vomissements, perte de poids, douleurs articulaires",Cardiologie
Psoriasis,"essoufflement, fièvre, vertiges, éruptions cutanées, diarrhée",Gastroentérologie
Epilepsie,"vertiges, maux de tête, toux",Infectiologie
Zona,"vertiges, fièvre, vomissements",Cardiologie
Alzheimer,"palpitations, fièvre, douleur abdominale, éruptions cutanées",Neurologie
Goutte,"toux, nausées, diarrhée",Pédiatrie
Dermatite,"fièvre, palpitations, maux de tête, fatigue",Pneumologie
Hernie,"fièvre, vertiges, douleurs articulaires, perte de poids",Hématologie
Hypertension,"douleurs articulaires, toux, vertiges",Cardiologie
Paludisme,"jaunisse, éruptions cutanées, diarrhée",Neurologie
VIH,"vertiges, douleur abdominale, perte de poids, vomissements, toux",Hématologie
Hernie,"fatigue, essoufflement, fièvre",Pneumologie
Pneumonie,"éruptions cutanées, douleurs articulaires, jaunisse, palpitations, vertiges",Cardiologie
Paludisme,"douleur abdominale, toux, palpitations, fatigue",ORL
Cancer du sein,"douleurs articulaires, vomissements, perte de poids",Gastroentérologie
Cirrhose,"nausées, vertiges, essoufflement",Oncologie
Thyroïdite,"essoufflement, palpitations, diarrhée, vertiges, toux",Hématologie
Lupus,"jaunisse, douleur abdominale, vertiges, diarrhée, perte de poids",Gastroentérologie
Diabète,"douleurs articulaires, fièvre, maux de tête",Rhumatologie
Arthrose,"éruptions cutanées, nausées, fièvre, vomissements, palpitations",Rhumatologie
Goutte,"diarrhée, nausées, vomissements",Ophtalmologie
Pneumonie,"toux, éruptions cutanées, perte de poids",Pédiatrie
Ulcère,"perte de poids, éruptions cutanées, fatigue, jaunisse, palpitations",Cardiologie
COVID-19,"éruptions cutanées, vomissements, essoufflement, diarrhée",Infectiologie
Obésité,"perte de poids, essoufflement, diarrhée",Endocrinologie
Epilepsie,"maux de tête, nausées, perte de poids, éruptions cutanées",Neurologie
Psoriasis,"diarrhée, toux, douleur abdominale, essoufflement",Médecine générale
Cancer du sein,"nausées, vomissements, perte de poids, maux de tête, palpitations",Neurologie
Méningite,"perte de poids, vomissements, diarrhée",Pneumologie
Dermatite,"palpitations, toux, diarrhée",Ophtalmologie
Conjonctivite,"toux, essoufflement, perte de poids",Neurologie
Cancer du foie,"vomissements, jaunisse, éruptions cutanées, maux de tête",Médecine générale
Diabète,"fatigue, perte de poids, douleur abdominale",Gastroentérologie
Thyroïdite,"jaunisse, fatigue, maux de tête, perte de poids",Hématologie
Hernie,"toux, perte de poids, maux de tête, vomissements",Chirurgie générale
Cirrhose,"maux de tête, perte de poids, vertiges",ORL
Asthme,"douleur abdominale, maux de tête, vomissements",Hématologie
Hernie,"vomissements, fièvre, maux de tête, douleur abdominale, vertiges",Oncologie
Anémie,"toux, diarrhée, éruptions cutanées",Cardiologie
Cirrhose,"nausées, diarrhée, vertiges",Infectiologie
Dermatite,"douleur abdominale, perte de poids, essoufflement, fièvre",Dermatologie
Grippe,"vomissements, nausées, douleur abdominale, toux, fièvre",Rhumatologie
Cancer du foie,"diarrhée, palpitations, éruptions cutanées, perte de poids, jaunisse",Chirurgie générale
Conjonctivite,"fièvre, toux, douleurs articulaires",Rhumatologie
Bronchite,"douleurs articulaires, éruptions cutanées, vertiges, fatigue, maux de tête",Médecine générale
Grippe,"toux, vomissements, jaunisse, éruptions cutanées, diarrhée",Neurologie
Goutte,"jaunisse, vomissements, diarrhée, fatigue",Chirurgie générale
Ulcère,"fièvre, douleurs articulaires, perte de poids, maux de tête",Ophtalmologie
Méningite,"douleur abdominale, douleurs articulaires, diarrhée, jaunisse, essoufflement",Oncologie
VIH,"toux, jaunisse, palpitations",Pneumologie
Méningite,"perte de poids, éruptions cutanées, fièvre, maux de tête",ORL
Cataracte,"diarrhée, perte de poids, douleur abdominale, vertiges",Pneumologie
Lupus,"douleurs articulaires, douleur abdominale, essoufflement, vomissements, nausées",Pneumologie
Gastrite,"éruptions cutanées, perte de poids, essoufflement, diarrhée",Chirurgie générale
Arthrite,"éruptions cutanées, vomissements, fièvre, perte de poids",Ophtalmologie
Parkinson,"nausées, fatigue, vomissements, douleurs articulaires, maux de tête",Infectiologie
Appendicite,"palpitations, toux, douleur abdominale",Infectiologie
Glaucome,"diarrhée, éruptions cutanées, essoufflement, douleur abdominale",Chirurgie générale
Appendicite,"douleurs articulaires, douleur abdominale, éruptions cutanées, perte de poids",Hématologie
Diabète,"vomissements, douleur abdominale, essoufflement, fatigue",Ophtalmologie
Hépatite,"fatigue, nausées, diarrhée, fièvre",Neurologie
Colite,"fièvre, jaunisse, vomissements, douleur abdominale, douleurs articulaires",Médecine générale
Insuffisance rénale,"toux, nausées, fatigue, palpitations",Pédiatrie
Hernie,"maux de tête, nausées, fatigue",Rhumatologie
Sinusite,"fatigue, vertiges, vomissements",Dermatologie
COVID-19,"douleur abdominale, vertiges, diarrhée, nausées, perte de poids",Chirurgie générale
Cancer de la peau,"vertiges, vomissements, diarrhée, jaunisse, fatigue",Chirurgie générale
Alzheimer,"éruptions cutanées, perte de poids, vomissements, douleurs articulaires, douleur abdominale",Médecine générale
Hypertension,"maux de tête, toux, vertiges",Pneumologie
Parkinson,"douleur abdominale, vomissements, maux de tête",Dermatologie
Colite,"jaunisse, fièvre, essoufflement, toux",Infectiologie
Conjonctivite,"maux de tête, éruptions cutanées, vertiges",Dermatologie
Sclérose,"fatigue, perte de poids, éruptions cutanées, jaunisse",Gastroentérologie
Arthrose,"éruptions cutanées, nausées, jaunisse, fièvre, toux",Pneumologie
Paludisme,"nausées, essoufflement, toux, maux de tête, perte de poids",Neurologie
Anémie,"vomissements, perte de poids, douleur abdominale, douleurs articulaires",Rhumatologie
Arthrose,"douleurs articulaires, fièvre, fatigue, jaunisse",Endocrinologie
Cancer de la peau,"palpitations, maux de tête, essoufflement, toux",ORL
COVID-19,"toux, vomissements, douleurs articulaires, fièvre",Chirurgie générale
Dermatite,"palpitations, diarrhée, fatigue",Rhumatologie
Otite,"éruptions cutanées, diarrhée, fièvre, jaunisse",Pédiatrie
Arthrose,"essoufflement, fièvre, maux de tête, vomissements",Dermatologie
Migraine,"vomissements, éruptions cutanées, nausées, maux de tête",Pneumologie
Anémie,"diarrhée, fatigue, perte de poids, éruptions cutanées, douleurs articulaires",Chirurgie générale
Conjonctivite,"diarrhée, essoufflement, fatigue, douleur abdominale, éruptions cutanées",Cardiologie
Hernie,"vomissements, jaunisse, maux de tête, diarrhée",Pédiatrie
Bronchite,"vomissements, nausées, maux de tête, diarrhée, éruptions cutanées",Médecine générale
Tuberculose,"perte de poids, vomissements, diarrhée, fièvre, palpitations",Gastroentérologie
Migraine,"vertiges, diarrhée, douleur abdominale, douleurs articulaires",Gastroentérologie
Hernie,"vomissements, vertiges, toux, essoufflement, nausées",Oncologie
Hernie,"douleur abdominale, vomissements, fièvre",ORL
Paludisme,"douleur abdominale, fatigue, perte de poids, vertiges, douleurs articulaires",Gastroentérologie
Sclérose,"nausées, fatigue, douleurs articulaires, éruptions cutanées",Gastroentérologie
Hypertension,"vomissements, vertiges, perte de poids",Oncologie
Goutte,"douleurs articulaires, essoufflement, vertiges, palpitations",Gastroentérologie
Sinusite,"vomissements, essoufflement, fatigue",Endocrinologie
Cataracte,"douleur abdominale, vertiges, nausées",Endocrinologie
Parkinson,"nausées, essoufflement, éruptions cutanées, diarrhée, palpitations",Pneumologie
Arthrite,"vertiges, jaunisse, vomissements, fièvre, maux de tête",Chirurgie générale
Otite,"maux de tête, diarrhée, essoufflement, vomissements",ORL
Crohn,"maux de tête, douleurs articulaires, vomissements, diarrhée, éruptions cutanées",Gastroentérologie
Paludisme,"toux, jaunisse, douleurs articulaires, nausées",Infectiologie
Hypertension,"diarrhée, toux, palpitations, perte de poids, vertiges",Rhumatologie
VIH,"fièvre, nausées, fatigue, vertiges, diarrhée",Cardiologie
Zona,"fièvre, vertiges, jaunisse, fatigue",Pneumologie
Cancer du sein,"éruptions cutanées, essoufflement, toux, vomissements",Neurologie
Pneumonie,"toux, vomissements, éruptions cutanées, fatigue, perte de poids",ORL
Hypertension,"perte de poids, fièvre, vertiges, nausées, vomissements",Hématologie
Hypertension,"éruptions cutanées, maux de tête, essoufflement",Infectiologie
Cataracte,"fièvre, maux de tête, toux, jaunisse",Endocrinologie
Ulcère,"diarrhée, fièvre, palpitations, nausées, douleurs articulaires",Endocrinologie
Diabète,"douleurs articulaires, vertiges, palpitations",Gastroentérologie
Glaucome,"maux de tête, éruptions cutanées, fatigue, diarrhée",Pédiatrie
Cataracte,"palpitations, nausées, fièvre, vomissements, toux",Médecine générale
Alzheimer,"douleur abdominale, nausées, vertiges, diarrhée, douleurs articulaires",Cardiologie
Grippe,"douleur abdominale, maux de tête, vomissements, toux, palpitations",Pédiatrie
Insuffisance rénale,"fatigue, vertiges, diarrhée, nausées",Rhumatologie
Hépatite,"douleurs articulaires, nausées, fatigue, diarrhée",Infectiologie
Insuffisance rénale,"fatigue, éruptions cutanées, diarrhée, jaunisse",Médecine générale
Hépatite,"fatigue, nausées, douleur abdominale",Pédiatrie
Goutte,"éruptions cutanées, toux, maux de tête, douleurs articulaires, vertiges",Chirurgie générale
Cancer de la peau,"fatigue, essoufflement, perte de poids, vertiges",Oncologie
Appendicite,"diarrhée, essoufflement, douleur abdominale",ORL
Obésité,"maux de tête, toux, palpitations, jaunisse",Neurologie
Glaucome,"toux, douleur abdominale, vertiges, douleurs articulaires, diarrhée",Cardiologie
Thyroïdite,"essoufflement, maux de tête, perte de poids, vertiges, nausées",Cardiologie
Dermatite,"fièvre, essoufflement, perte de poids, éruptions cutanées",Oncologie
Migraine,"vertiges, fatigue, palpitations",Hématologie
Arthrite,"jaunisse, palpitations, douleur abdominale",Endocrinologie
Cancer du foie,"éruptions cutanées, maux de tête, douleur abdominale, nausées, toux",Rhumatologie
Grippe,"douleur abdominale, éruptions cutanées, vertiges, nausées, fatigue",Endocrinologie
Cancer du foie,"toux, jaunisse, maux de tête, vertiges, nausées",ORL
Colite,"perte de poids, essoufflement, douleur abdominale, vertiges, éruptions cutanées",Dermatologie
Zona,"maux de tête, toux, essoufflement",Infectiologie
Colite,"essoufflement, douleurs articulaires, nausées, toux",Dermatologie
Méningite,"douleurs articulaires, éruptions cutanées, vertiges, jaunisse, palpitations",Hématologie
Glaucome,"jaunisse, essoufflement, nausées, palpitations, perte de poids",Neurologie
Glaucome,"essoufflement, maux de tête, éruptions cutanées, vertiges, toux",Chirurgie générale
Asthme,"fatigue, douleur abdominale, vomissements",Oncologie
Cataracte,"perte de poids, toux, nausées, vomissements, maux de tête",Infectiologie
Otite,"douleur abdominale, maux de tête, toux, vomissements",Rhumatologie
Hernie,"toux, nausées, perte de poids",Pneumologie
Conjonctivite,"fièvre, vertiges, douleur abdominale, jaunisse",Chirurgie générale
Appendicite,"douleurs articulaires, maux de tête, douleur abdominale",Ophtalmologie
Cancer du foie,"nausées, vertiges, éruptions cutanées",Rhumatologie
Paludisme,"éruptions cutanées, fièvre, vomissements, toux",Ophtalmologie
Cirrhose,"palpitations, nausées, vertiges, toux, fièvre",Médecine générale
Crohn,"toux, fatigue, diarrhée, maux de tête, palpitations",Infectiologie
COVID-19,"éruptions cutanées, maux de tête, jaunisse",Infectiologie
Grippe,"fièvre, jaunisse, douleur abdominale",ORL
Appendicite,"essoufflement, vertiges, palpitations, perte de poids, toux",Médecine générale
Grippe,"essoufflement, éruptions cutanées, palpitations",Dermatologie
Pneumonie,"essoufflement, fatigue, perte de poids",Gastroentérologie
Diabète,"fièvre, éruptions cutanées, vertiges, vomissements, maux de tête",Hématologie
Cataracte,"perte de poids, fièvre, nausées",Pédiatrie
Bronchite,"fatigue, fièvre, essoufflement, douleurs articulaires, vertiges",Rhumatologie
Arthrite,"vomissements, fièvre, maux de tête",Neurologie
COVID-19,"vomissements, essoufflement, fièvre, palpitations, éruptions cutanées",Cardiologie
Cirrhose,"vomissements, nausées, éruptions cutanées, fatigue",Chirurgie générale
Cancer de la peau,"douleurs articulaires, palpitations, douleur abdominale",Endocrinologie
Goutte,"éruptions cutanées, maux de tête, douleur abdominale, fièvre",Pneumologie
Alzheimer,"éruptions cutanées, diarrhée, nausées, palpitations, fatigue",Cardiologie
Psoriasis,"vertiges, douleurs articulaires, vomissements, essoufflement, éruptions cutanées",Pédiatrie
Dermatite,"éruptions cutanées, jaunisse, nausées",Pédiatrie
Hépatite,"essoufflement, maux de tête, perte de poids",Infectiologie
Parkinson,"toux, éruptions cutanées, essoufflement, nausées",Infectiologie
Colite,"douleur abdominale, diarrhée, éruptions cutanées, perte de poids, toux",Chirurgie générale
Alzheimer,"palpitations, fièvre, vomissements, maux de tête",Endocrinologie
Hépatite,"vomissements, diarrhée, douleur abdominale",Rhumatologie
Hypertension,"palpitations, jaunisse, fatigue",Pédiatrie
Glaucome,"essoufflement, jaunisse, vertiges",Neurologie
Psoriasis,"jaunisse, palpitations, fatigue, fièvre",Pédiatrie
Cancer du foie,"diarrhée, jaunisse, nausées",Oncologie
Cancer de la peau,"jaunisse, fatigue, douleur abdominale, palpitations, nausées",Neurologie
Otite,"palpitations, maux de tête, toux, perte de poids",Rhumatologie
Sclérose,"douleurs articulaires, vomissements, éruptions cutanées, nausées",Gastroentérologie
Cancer du foie,"douleurs articulaires, diarrhée, vertiges, perte de poids",Chirurgie générale
Ulcère,"diarrhée, vertiges, vomissements",Infectiologie
Dermatite,"éruptions cutanées, vomissements, toux, nausées",Médecine générale
Hépatite,"douleurs articulaires, vomissements, fatigue, éruptions cutanées",Ophtalmologie
Sclérose,"fièvre, douleur abdominale, nausées, jaunisse, vertiges",Chirurgie générale
Dermatite,"éruptions cutanées, fatigue, nausées, jaunisse, fièvre",Endocrinologie
Bronchite,"fatigue, nausées, perte de poids, fièvre",Médecine générale
Méningite,"diarrhée, fatigue, fièvre, vertiges, jaunisse",Cardiologie
Dermatite,"éruptions cutanées, vertiges, maux de tête, douleurs articulaires, jaunisse",Dermatologie
Crohn,"vertiges, éruptions cutanées, toux",Ophtalmologie
Cancer du sein,"palpitations, fièvre, jaunisse",Rhumatologie
Dermatite,"essoufflement, diarrhée, toux, douleur abdominale, palpitations",Pédiatrie
Ulcère,"essoufflement, fatigue, vomissements",Ophtalmologie
Hypertension,"perte de poids, vomissements, essoufflement",Rhumatologie
Dermatite,"douleurs articulaires, maux de tête, diarrhée, fatigue, vomissements",Cardiologie
Migraine,"douleur abdominale, diarrhée, jaunisse, essoufflement",Rhumatologie
Conjonctivite,"éruptions cutanées, perte de poids, maux de tête, fatigue, vomissements",Pédiatrie
Arthrose,"douleur abdominale, toux, vomissements",Hématologie
Tuberculose,"douleurs articulaires, éruptions cutanées, vomissements",Hématologie
Crohn,"jaunisse, maux de tête, fièvre, diarrhée, vertiges",Cardiologie
Asthme,"nausées, fièvre, douleur abdominale",Neurologie
Zona,"maux de tête, nausées, perte de poids, vertiges, fièvre",Cardiologie
Conjonctivite,"perte de poids, éruptions cutanées, diarrhée",Gastroentérologie
Goutte,"perte de poids, éruptions cutanées, douleurs articulaires",Pédiatrie
Arthrose,"jaunisse, douleurs articulaires, essoufflement, nausées",Pneumologie
VIH,"jaunisse, palpitations, diarrhée, vertiges",Hématologie
Dermatite,"essoufflement, jaunisse, douleurs articulaires, nausées, perte de poids",Neurologie
Otite,"diarrhée, perte de poids, vertiges",Cardiologie
Méningite,"palpitations, fatigue, jaunisse, toux, douleur abdominale",ORL
Grippe,"perte de poids, toux, vertiges",Endocrinologie
Pneumonie,"fatigue, éruptions cutanées, jaunisse",Neurologie
Hernie,"essoufflement, douleurs articulaires, palpitations, jaunisse, vomissements",Oncologie
Sclérose,"nausées, jaunisse, douleur abdominale, éruptions cutanées, palpitations",Cardiologie
Arthrose,"perte de poids, éruptions cutanées, maux de tête, nausées",Endocrinologie
Sclérose,"fatigue, vertiges, palpitations, éruptions cutanées",Rhumatologie
Cataracte,"éruptions cutanées, nausées, fatigue, perte de poids, vertiges",Hématologie
Migraine,"vertiges, éruptions cutanées, perte de poids, douleurs articulaires, diarrhée",Infectiologie
Conjonctivite,"toux, fatigue, nausées, vertiges, palpitations",Infectiologie
Cataracte,"douleur abdominale, vertiges, jaunisse, palpitations",Gastroentérologie
Arthrose,"fièvre, palpitations, vertiges, perte de poids, fatigue",Hématologie
Asthme,"perte de poids, douleurs articulaires, palpitations, diarrhée, essoufflement",Infectiologie
Lupus,"diarrhée, vertiges, toux, perte de poids",Gastroentérologie
Ulcère,"éruptions cutanées, essoufflement, vomissements, perte de poids, maux de tête",Pneumologie
Alzheimer,"nausées, éruptions cutanées, jaunisse",Cardiologie
Anémie,"vomissements, jaunisse, toux, douleur abdominale",Rhumatologie
Asthme,"douleur abdominale, fièvre, essoufflement, fatigue, maux de tête",Hématologie
COVID-19,"palpitations, nausées, vertiges",Médecine générale
Gastrite,"jaunisse, maux de tête, vomissements, toux",Cardiologie
Arthrite,"diarrhée, fatigue, douleur abdominale, nausées",Endocrinologie
Asthme,"jaunisse, toux, vertiges, fièvre, fatigue",Gastroentérologie
Pneumonie,"essoufflement, fatigue, toux, nausées, maux de tête",ORL
Anémie,"douleur abdominale, fièvre, vomissements, vertiges, fatigue",Cardiologie
Cirrhose,"essoufflement, nausées, jaunisse, maux de tête, toux",Pédiatrie
Arthrose,"essoufflement, vomissements, douleurs articulaires, jaunisse",Gastroentérologie
Cancer du sein,"nausées, douleur abdominale, vomissements, toux, diarrhée",Gastroentérologie
Parkinson,"essoufflement, diarrhée, éruptions cutanées",Gastroentérologie
Hernie,"vertiges, éruptions cutanées, douleurs articulaires, fatigue",Médecine générale
Asthme,"vomissements, jaunisse, nausées, fatigue",Rhumatologie
Gastrite,"toux, vertiges, perte de poids",Gastroentérologie
Conjonctivite,"douleur abdominale, toux, diarrhée, essoufflement, vomissements",Ophtalmologie
Thyroïdite,"fatigue, éruptions cutanées, palpitations, douleur abdominale, essoufflement",Dermatologie
Hépatite,"douleurs articulaires, diarrhée, nausées",Pédiatrie
Zona,"maux de tête, essoufflement, douleurs articulaires, fatigue, toux",Ophtalmologie
Goutte,"maux de tête, perte de poids, fièvre, fatigue",Dermatologie
Hépatite,"essoufflement, fatigue, vertiges, palpitations",Chirurgie générale
Asthme,"perte de poids, douleurs articulaires, vertiges",Chirurgie générale
Otite,"douleur abdominale, fièvre, éruptions cutanées",Oncologie
COVID-19,"douleurs articulaires, perte de poids, fatigue, jaunisse, vomissements",Oncologie
Goutte,"perte de poids, palpitations, jaunisse, maux de tête, fatigue",Endocrinologie
Tuberculose,"fatigue, nausées, essoufflement, maux de tête, fièvre",Pédiatrie
Psoriasis,"douleur abdominale, maux de tête, jaunisse, palpitations, fatigue",Infectiologie
Goutte,"essoufflement, fièvre, maux de tête, vomissements",Pneumologie
Goutte,"nausées, perte de poids, fièvre, jaunisse, essoufflement",Pédiatrie
COVID-19,"vertiges, essoufflement, maux de tête, douleur abdominale",Hématologie
Anémie,"maux de tête, douleurs articulaires, nausées",Pédiatrie
Insuffisance rénale,"toux, palpitations, jaunisse, perte de poids, vertiges",Pneumologie
Alzheimer,"douleurs articulaires, toux, maux de tête, essoufflement, éruptions cutanées",Pneumologie
Conjonctivite,"vomissements, fièvre, vertiges",Gastroentérologie
Alzheimer,"perte de poids, douleur abdominale, vomissements, douleurs articulaires, nausées",Cardiologie
Glaucome,"éruptions cutanées, jaunisse, palpitations",Pédiatrie
Dermatite,"jaunisse, palpitations, diarrhée, fièvre",Chirurgie générale
Anémie,"toux, diarrhée, fatigue, vertiges, fièvre",Dermatologie
Arthrose,"fièvre, jaunisse, nausées",Rhumatologie
Diabète,"douleur abdominale, toux, nausées, perte de poids",Hématologie
VIH,"jaunisse, perte de poids, nausées",Pédiatrie
Obésité,"douleur abdominale, diarrhée, fièvre",Ophtalmologie
Arthrose,"essoufflement, nausées, éruptions cutanées, palpitations, toux",Pneumologie
Méningite,"vomissements, jaunisse, maux de tête, fatigue, fièvre",Ophtalmologie
Cancer de la peau,"toux, vomissements, maux de tête, douleurs articulaires, douleur abdominale",Hématologie
Ulcère,"douleurs articulaires, éruptions cutanées, vertiges, maux de tête",ORL
Arthrite,"toux, palpitations, essoufflement, maux de tête",Dermatologie
Grippe,"palpitations, essoufflement, fièvre",Rhumatologie
Goutte,"jaunisse, diarrhée, nausées, essoufflement",Chirurgie générale
Epilepsie,"diarrhée, perte de poids, essoufflement, vomissements, douleurs articulaires",Rhumatologie
Colite,"fatigue, douleurs articulaires, essoufflement, toux",Chirurgie générale
Anémie,"maux de tête, essoufflement, nausées",Dermatologie
Paludisme,"éruptions cutanées, douleurs articulaires, perte de poids, diarrhée, essoufflement",Pédiatrie
Cirrhose,"vertiges, douleur abdominale, nausées",Gastroentérologie
Crohn,"éruptions cutanées, toux, maux de tête",Médecine générale
Otite,"essoufflement, maux de tête, douleurs articulaires, palpitations, jaunisse",Endocrinologie
Hépatite,"toux, douleurs articulaires, vertiges",Cardiologie
Otite,"vomissements, perte de poids, palpitations, fièvre",Pédiatrie
Méningite,"fièvre, éruptions cutanées, vertiges",Ophtalmologie
Colite,"diarrhée, vertiges, vomissements, fatigue",Chirurgie générale
Goutte,"douleur abdominale, palpitations, toux, douleurs articulaires",Rhumatologie
Conjonctivite,"fatigue, toux, jaunisse, nausées, douleurs articulaires",Rhumatologie
Hépatite,"éruptions cutanées, fatigue, nausées",Gastroentérologie
Cirrhose,"fièvre, douleurs articulaires, palpitations",ORL
Anémie,"jaunisse, palpitations, toux, vomissements, essoufflement",Cardiologie
Sclérose,"éruptions cutanées, fièvre, vomissements, palpitations",Médecine générale
Anémie,"nausées, douleurs articulaires, vomissements, fièvre",Neurologie
Migraine,"vomissements, essoufflement, jaunisse, fièvre, nausées",Ophtalmologie
